413.00,50.00,90.00,62.00
413.08,49.88,89.60,62.00
413.97,50.33,87.13,60.87
414.13,50.10,87.00,61.10
416.59,53.28,88.40,62.00
414.62,51.49,93.00,65.33
420.36,48.05,90.60,64.20
427.05,38.29,92.57,65.83
432.24,29.30,91.93,65.67
435.76,25.49,90.40,64.60
438.67,24.20,86.33,61.67
434.26,22.96,85.23,61.63
434.86,30.29,83.60,61.00
436.30,33.69,83.23,61.00
434.08,31.06,84.27,61.93
430.04,29.68,83.50,61.00
424.33,25.73,83.07,61.47
420.80,24.19,81.77,61.00
416.51,21.60,82.80,62.00
416.52,25.04,82.40,62.00
421.13,33.06,80.00,60.00
421.18,36.38,79.50,59.90
417.05,41.37,80.47,61.27
414.72,45.76,77.80,59.23
410.12,45.78,78.60,60.40
409.47,41.30,79.50,61.67
411.59,36.63,80.93,62.60
411.73,33.39,80.50,62.50
404.74,33.05,80.47,62.80
404.54,32.82,80.23,62.90
401.00,29.00,80.00,63.00
397.38,25.49,80.53,63.00
391.34,27.57,85.47,66.60
388.25,28.20,83.90,65.50
385.11,23.84,83.93,65.07
389.45,13.59,81.67,62.33
392.31, 5.06,83.40,62.80
392.65,-4.02,84.63,64.37
396.48,-7.04,82.67,61.93
399.36,-10.91,84.40,62.50
402.64,-11.11,85.33,63.00
402.22,-11.19,86.40,63.27
400.00,-11.50,86.60,64.00
400.93,-14.19,85.20,62.13
400.03,-12.81,87.47,63.00
401.60,-2.65,88.50,64.00
404.98, 6.89,89.47,63.47
409.24,12.93,88.97,63.60
412.07,19.15,91.20,64.40
416.60,31.73,91.23,64.10
416.21,44.37,92.33,64.33
419.67,53.06,93.50,64.60
420.46,53.81,92.27,63.27
425.25,54.30,91.20,62.47
427.45,54.39,93.20,63.20
426.51,54.02,95.33,64.00
426.37,53.57,95.87,64.00
424.70,54.92,91.30,61.60
420.11,51.26,93.20,62.13
418.97,46.97,95.53,63.03
419.00,47.00,96.00,63.00
415.06,50.91,96.03,62.90
399.78,49.24,101.67,66.53
396.27,49.83,99.70,65.40
393.30,51.32,95.87,62.47
388.30,46.31,97.83,63.33
384.51,43.27,97.00,62.80
376.24,43.68,95.77,62.07
371.30,41.18,96.27,62.20
363.69,41.35,95.70,61.80
358.03,40.23,99.00,64.00
357.82,40.17,99.43,64.07
356.62,44.74,98.80,63.60
353.61,48.61,99.83,63.97
350.91,57.70,97.40,62.53
351.38,70.69,96.50,62.00
350.85,83.34,97.60,62.47
358.81,91.09,98.57,62.87
363.97,91.98,96.20,61.00
362.74,94.95,98.63,62.73
358.35,107.02,99.33,63.33
358.66,115.28,98.70,62.60
366.87,121.76,100.20,63.27
370.87,126.65,100.30,63.23
375.67,127.15,98.80,62.40
381.46,111.80,97.17,60.67
388.33,97.57,99.40,62.67
